,id,caption,cluster
0,52585314134,"the city of Pisa, ",3
1,52583762360,the columns of the building,3
2,52585488665,the start of the race,3
3,52585056186,"the city of Pisa, ",3
4,51960277471,the cathedral of pisa,3
5,52585573073,the cathedral of pisa,3
6,52585315479,the rooftops of a city,3
7,52582856047,the bell in the bell tower,3
8,52583584844,"the city of Pisa, ",3
9,52583837223,the cathedral of pisa,3
10,52583586064,the roof of a cathedral,3
11,52583586354,"the city of Pisa, ",3
12,52204781231,the pisa tower,3
13,52583838658,"the city of Pisa, ",3
14,52585486930,the bell of the cathedral of st-jean-paul-de-l'arc,3
15,52585571478,"the city of Pisa, ",3
16,52585486130,"the city of Pisa, ",3
17,52583586989,the city of Pisa,3
18,52585570563,a city with a train,3
19,52585485090,the bell in the tower of the cathedral of siena,3
20,52585570048,the start of the race,3
21,52585561043,the leaning tower of pisa,3
22,52584571132,the leaning tower of pisa,3
23,52583842008,the leaning tower of pisa,3
24,52582860147,the crowd at the vatican,3
25,52585317174,the inside of a large circular tunnel,3
26,52585320479,the leaning tower of pisa at night,3
27,52582859212,the start of the milan marathon,3
28,52905486474,the cathedral of pisa from above,3
29,52461937106,the leaning tower of pisa at night,3
30,52462140854,the leaning tower of pisa,3
31,52462408473,the leaning tower of pisa,3
32,52461357422,the leaning tower of pisa,3
33,52676383196,"the city of Pisa, ",3
34,52462207289,the leaning tower of pisa at night,3
35,52461937861,the leaning tower of pisa at night,3
36,52462473708,the leaning tower of pisa at night,3
37,52462393175,the leaning tower of pisa at night,3
38,52462393070,the leaning tower of pisa at night,3
39,52675873677,"the cathedral of pisa, Pisa",3
40,52462385005,"the leaning tower of pisa, Pisa",3
41,52462198699,the leaning tower of pisa at night,3
42,52461936926,the leaning tower of pisa at night,3
43,52461929401,the leaning tower of pisa,3
44,52676881988,a bell in a tower,3
45,52461416977,the leaning tower of pisa,3
46,52461931426,the leaning tower of pisa,3
47,52462200504,the leaning tower of pisa,3
48,52462467593,the leaning tower of pisa,3
49,52462385820,the leaning tower of pisa,3
50,52462198954,the leaning tower of pisa,3
51,52462465888,the leaning tower of pisa at night,3
52,52462473453,the leaning tower of pisa at night,3
53,52462125334,the leaning tower of pisa,3
54,52461356832,the leaning tower of pisa,3
55,52461359917,the leaning tower of pisa,3
56,52462329270,the leaning tower of pisa at sunset,3
57,52461359212,the leaning tower of pisa,3
58,52461875091,the leaning tower of pisa,3
59,52461359562,the leaning tower of pisa at sunset,3
60,52462329850,the leaning tower of pisa,3
61,52461359812,the leaning tower of pisa,3
62,52461360057,the leaning tower of pisa at sunset,3
63,52461929306,the leaning tower of pisa,3
64,52462330205,the leaning tower of pisa,3
65,52462411348,the leaning tower of pisa,3
66,52462330280,the leaning tower of pisa at sunset,3
67,52462330340,the leaning tower of pisa,3
68,52462330400,the leaning tower of pisa,3
69,52462440403,the leaning tower of pisa,3
70,52462410253,the leaning tower of pisa,3
71,52462410098,the leaning tower of pisa,3
72,52462409993,the leaning tower of pisa,3
73,52461874351,the leaning tower of pisa,3
74,52462142279,the leaning tower of pisa,3
75,52462142119,the leaning tower of pisa,3
76,52462141949,the leaning tower of pisa,3
77,52461358012,the leaning tower of pisa,3
78,52462327870,the leaning tower of pisa,3
79,52461357862,the leaning tower of pisa,3
80,52462141299,the leaning tower of pisa,3
81,52461872891,the leaning tower of pisa,3
82,52462311850,the leaning tower of pisa,3
83,52462461218,the leaning tower of pisa,3
84,52461929081,the leaning tower of pisa,3
85,52462198209,the leaning tower of pisa,3
86,52462465358,the leaning tower of pisa,3
87,52462326965,the leaning tower of pisa,3
88,52462360255,the leaning tower of pisa,3
89,52462312395,the leaning tower of pisa,3
90,52461343437,the leaning tower of pisa,3
91,51857481350,the bell of the cathedral of the city of Pisa,3
92,51857481600,the bell in the tower of piazza san pietro,3
93,51857154754,the bell in black and white,3
94,51855879327,the cathedral of pisa in black and white,3
95,51855879542,the cathedral of pisa,3
96,52461857791,the leaning tower of pisa,3
97,52461857916,the leaning tower of pisa,3
98,51857655697,the leaning tower of pisa,3
99,51838302729,the bell in the tower of the church of sant'andrea in Pisa,3
100,52461858131,the leaning tower of pisa,3
101,52461342547,the leaning tower of pisa,3
102,52462393988,the leaning tower of pisa,3
103,52210213734,the leaning tower of pisa,3
104,52461858536,the leaning tower of pisa,3
105,52462394163,the leaning tower of pisa,3
106,52461342937,the leaning tower of pisa,3
107,52462313485,the leaning tower of pisa,3
108,51857481135,the bell tower of the cathedral of pisa,3
109,52462394703,the leaning tower of pisa,3
110,51491931697,the leaning tower of pisa at night,3
111,52461857326,the leaning tower of pisa,3
112,52462392688,the leaning tower of pisa,3
113,52462312210,the leaning tower of pisa,3
114,51837945891,the bell in the tower of sant'andrea,3
115,51839212945,the bell in the bell tower,3
116,52462125124,the leaning tower of pisa,3
117,51837945951,the bell in Pisa,3
118,52461858021,the leaning tower of pisa,3
119,52462393773,the leaning tower of pisa,3
120,52461858936,the leaning tower of pisa,3
121,52462394633,the leaning tower of pisa,3
122,51212206012,the leaning tower of pisa,3
123,52462392983,the leaning tower of pisa,3
124,52462328320,the cathedral of pisa,3
125,52461389827,"the leaning tower of pisa, Pisa",3
126,52461904711,the pisa cathedral,3
127,52461904836,the leaning tower of pisa,3
128,52461904956,the leaning tower of pisa,3
129,52462133654,"the santa maria della croce church in Pisa, ",3
130,52462395873,the cathedral of pisa,3
131,52462127669,the leaning tower of pisa,3
132,52462127784,the leaning tower of pisa,3
133,52462134609,the cathedral of pisa,3
134,52462321130,"the cathedral in Pisa, ",3
135,52461355117,the cathedral of pisa,3
136,52462138854,the cathedral of pisa,3
137,52462407293,the piazza del campo and the leaning tower of pisa,3
138,52461871716,the leaning tower of pisa,3
139,52462139984,the leaning tower of pisa at night,3
140,52462326485,the cathedral at night,3
141,52461343707,the leaning tower of pisa,3
142,52461404367,the coat of arms of the city of Pisa,3
143,52462318785,the pisa cathedral,3
144,52462400898,"the facade of the cathedral of siena, Pisa",3
145,52462319840,a statue of a man on a building,3
146,52462133099,"the church of Pisa in , ",3
147,52462133014,the statue of the eagle on the roof of the church,3
148,52461864796,the statue of mary and jesus on the roof of the church of san marco,3
149,52462319225,the pisa cathedral,3
150,52462132609,the cathedral of pisa,3
151,52461348582,the facade of the cathedral of pisa,3
152,52462399783,the cathedral of pisa,3
